Category Name (EN),Category Name (NL),Item Name (EN),Item Name (NL),Description (EN),Description (NL),Price (EUR),Add-on Price,Stock Status,Visibility,Image URL,Category Order,Item Order
Dranken,Dranken,V Cola Regular,V Cola Regular,,Soft drink.,3.00,,In Stock,Visible,,7,20
Dranken,Dranken,Sariyer Cola 33cl,Sariyer Cola 33cl,,Soft drink.,3.00,,In Stock,Visible,,7,21
Dranken,Dranken,Palestine Cola,Palestine Cola,,Soft drink.,3.00,,In Stock,Visible,,7,22
Dranken,Dranken,Capri-Sun Orange 0.2L,Capri-Sun Orange 0.2L,,Juice drink.,3.00,,In Stock,Visible,,7,23
Dranken,Dranken,Sariyer Orange 33cl,Sariyer Orange 33cl,,Soft drink.,3.00,,In Stock,Visible,,7,24
Extras,Extras,Extra plak Cheddar,Extra plak Cheddar,,Extra cheddar slice.,3.00,,In Stock,Visible,,8,25
Extras,Extras,Extra kip,Extra kip,,Extra chicken.,4.80,,In Stock,Visible,,8,26
Extras,Extras,Gekarameliseerde uien,Gekarameliseerde uien,,Caramelized onions.,3.60,,In Stock,Visible,,8,27
Extras,Extras,Gebakken champignons in boter,Gebakken champignons in boter,,Mushrooms fried in butter.,3.60,,In Stock,Visible,,8,28
Extras,Extras,Extra rundvlees (120g),Extra rundvlees (120g),,Extra beef patty 120g.,5.40,,In Stock,Visible,,8,29
Extras,Extras,Extra augurken,Extra augurken,,Extra pickles.,1.80,,In Stock,Visible,,8,30
Beef Burgers Menu,Beef Burgers Menu,Classic Bel Burger Menu,Classic Bel Burger Menu,"Soft brioche bun, halal patty, cheddar, lettuce, tomato, pickles, and sauce. Served with fries, a soft drink, and dipping sauce.","Zachte brioche bun, halal patty, cheddar, sla, tomaat, augurk en saus. Geserveerd met frietjes, frisdrank en dipsaus.",14.40,,In Stock,Visible,https://rjilmezpvysgphgqlafw.supabase.co/storage/v1/object/public/menu-images/menu/1778477236872-23ae3e11-f074-4014-8f65-d125f8afc77a.webp,9,31
Beef Burgers Menu,Beef Burgers Menu,Smoky Bel Burger Menu,Smoky Bel Burger Menu,"Halal beef patty with cheddar, crispy onions, lettuce, tomato, and BBQ sauce. Served with fries, a soft drink, and dipping sauce.","Halal rundvleespatty met cheddar, krokante uitjes, sla, tomaat en BBQ-saus. Geserveerd met frietjes, frisdrank en dipsaus.",15.00,,In Stock,Visible,https://rjilmezpvysgphgqlafw.supabase.co/storage/v1/object/public/menu-images/menu/1778477257231-e64318e5-c659-47a9-84ba-15438a332976.webp,9,32
Beef Burgers Menu,Beef Burgers Menu,Bel Mushroom Burger Menu,Bel Mushroom Burger Menu,"Brioche bun with a halal patty, cheddar, mushrooms, onions, mushroom sauce, and lettuce. Served with fries, a soft drink, and sauce.","Brioche bun met halal patty, cheddar, champignons, uien, paddenstoelensaus en sla. Geserveerd met frietjes, frisdrank en saus.",15.00,,In Stock,Visible,https://rjilmezpvysgphgqlafw.supabase.co/storage/v1/object/public/menu-images/menu/1778477280728-9b669c60-446c-4b84-bc8f-2d63bb9a46be.webp,9,33
Beef Burgers Menu,Beef Burgers Menu,Bel Bacon BBQ Burger Menu,Bel Bacon BBQ Burger Menu,"Halal beef patty with cheddar, halal bacon, lettuce, tomato, and BBQ sauce. Served with fries, a soft drink, and dipping sauce.","Halal rundvleespatty met cheddar, halal spek, sla, tomaat en BBQ-saus. Geserveerd met frietjes, frisdrank en dipsaus.",15.00,,In Stock,Visible,https://rjilmezpvysgphgqlafw.supabase.co/storage/v1/object/public/menu-images/menu/1778477296635-b0e0fea3-7595-4759-b6b9-8e16c5e0be37.webp,9,34
Beef Burgers Menu,Beef Burgers Menu,Bel Cheddar Double Burger Menu,Bel Cheddar Double Burger Menu,"Two halal beef patties with cheddar, lettuce, crispy mozzarella sticks, and cheese sauce. Served with fries, a soft drink, and dipping sauce.","Twee halal rundvleespatties met cheddar, sla, krokante mozzarella sticks en cheddar saus. Geserveerd met frietjes, frisdrank en dipsaus.",17.40,,In Stock,Visible,https://rjilmezpvysgphgqlafw.supabase.co/storage/v1/object/public/menu-images/menu/1778477318287-b7fe33c3-21f2-4572-aec1-38178c015368.webp,9,35
Beef Burgers Menu,Beef Burgers Menu,Bel Texas Burger Menu,Bel Texas Burger Menu,"Halal beef patty with cheddar, lettuce, tomato, and crispy onion rings. Served with fries, a soft drink, and dipping sauce.","Halal rundvleespatty, cheddar, sla, tomaat en krokante onion rings. Geserveerd met frietjes, frisdrank en dipsaus.",15.00,,In Stock,Visible,https://rjilmezpvysgphgqlafw.supabase.co/storage/v1/object/public/menu-images/menu/1778477352164-56ededd0-9cbd-4710-b323-b2d443bc2065.webp,9,36
Beef Burgers Menu,Beef Burgers Menu,Big Bel Burger Menu,Big Bel Burger Menu,"Two halal beef patties, double cheddar, lettuce, and tomato. Served with fries, a soft drink, and dipping sauce.","Twee halal rundvleespatties, dubbel cheddar, sla en tomaat. Geserveerd met frietjes, frisdrank en dipsaus.",17.40,,In Stock,Visible,https://rjilmezpvysgphgqlafw.supabase.co/storage/v1/object/public/menu-images/menu/1778477385657-b0113714-5cae-42a6-9bdd-ecdfceced93d.webp,9,37
Beef Burgers,Beef Burgers,Classic Bel Burger,Classic Bel Burger,"Brioche bun with a halal patty, cheddar, lettuce, tomato, pickles, and homemade sauce.","Brioche bun met halal patty, cheddar, sla, tomaat, augurk en huisgemaakte saus.",9.00,,In Stock,Visible,https://rjilmezpvysgphgqlafw.supabase.co/storage/v1/object/public/menu-images/menu/1778477473063-6ad86fb6-452a-4343-ac3f-53cbc85a3299.webp,10,38
Beef Burgers,Beef Burgers,Bel Mushroom Burger,Bel Mushroom Burger,"Halal patty with cheddar, mushrooms, onions, and creamy mushroom sauce on lettuce and a brioche bun.","Halal patty met cheddar, champignons, uien en romige champignonsaus op sla en brioche bun.",9.60,,In Stock,Visible,https://rjilmezpvysgphgqlafw.supabase.co/storage/v1/object/public/menu-images/menu/1778477518043-7368daa3-9089-461c-8c71-c413e4558b6f.webp,10,39
Beef Burgers,Beef Burgers,Bel Bacon BBQ Burger,Bel Bacon BBQ Burger,"Halal patty with cheddar, halal bacon, lettuce, tomato, and BBQ sauce on a brioche bun.","Halal patty met cheddar, halal spek, sla, tomaat en BBQ-saus op een brioche bun.",9.60,,In Stock,Visible,https://rjilmezpvysgphgqlafw.supabase.co/storage/v1/object/public/menu-images/menu/1778481623920-4be36ae0-5735-4dc5-a8fe-8178c3503cad.webp,10,40
Beef Burgers,Beef Burgers,Bel Cheddar Double Burger,Bel Cheddar Double Burger,"Two halal beef patties, melted cheddar, mozzarella sticks, cheese sauce, and lettuce on a brioche bun.","Twee halal rundvleespatties, gesmolten cheddar, mozzarella sticks, cheddarsaus, sla en brioche bun.",12.00,,In Stock,Visible,https://rjilmezpvysgphgqlafw.supabase.co/storage/v1/object/public/menu-images/menu/1778481725969-9a61d8ad-d578-4506-ac70-0073e1d7fd36.webp,10,41
Beef Burgers,Beef Burgers,Bel Texas Burger,Bel Texas Burger,"Halal patty with cheddar, lettuce, tomato, and crispy onion rings on a soft brioche bun.","Halal patty met cheddar, sla, tomaat en krokante onion rings op een zachte brioche bun.",9.60,,In Stock,Visible,https://rjilmezpvysgphgqlafw.supabase.co/storage/v1/object/public/menu-images/menu/1778481900001-769bba77-5827-4c7d-9a92-e4f34f763008.webp,10,42
Beef Burgers,Beef Burgers,Smoky Bel Burger,Smoky Bel Burger,"Halal beef with lettuce, tomato, cheese, fried onions, and smoky barbecue sauce.","Halal rundvlees met sla, tomaat, kaas, gebakken uitjes en smoky barbecuesaus.",9.60,,In Stock,Visible,https://rjilmezpvysgphgqlafw.supabase.co/storage/v1/object/public/menu-images/menu/1778481994529-6b7fa700-ce29-4c3c-bed0-cfd15d40b13d.webp,10,43
Beef Burgers,Beef Burgers,Big Bel Burger,Big Bel Burger,"Two halal beef patties, melted cheddar, lettuce, tomato, and brioche bun.","Twee halal rundvleespatties, gesmolten cheddar, sla, tomaat en brioche bun.",12.00,,In Stock,Visible,https://rjilmezpvysgphgqlafw.supabase.co/storage/v1/object/public/menu-images/menu/1778481797916-5f2a4de7-3774-420a-bf2f-f4abdcdc07a5.webp,10,44
